category,region,price,avg_price_category_region,supplier_id,supplier_name,supplier_win_count,days_to_tender,price_per_unit,supplier_years_active,supplier_total_contracts,supplier_avg_contract_value,is_suspicious
Строительство,Атырау,1747027,2430339,BIN614312312126,ТОО Медика 195,4,10,2786.33,9,388,17210041,0
Медикаменты,Атырау,1450932,1851569,BIN417674131726,ТОО ЭкоПоставка 104,13,10,2136.87,15,102,17738407,0
Строительство,Шымкент,1776981,1778535,BIN606149051014,ТОО ТехИмпорт 428,7,2,2252.19,10,64,9464163,0
Техника,Астана,4750353,4554232,BIN561738967597,ТОО ПрофСтрой 583,15,1,10945.51,9,279,18983122,1
Канцелярия,Алматы,2486621,2007826,BIN294302774285,ТОО ТехИмпорт 668,11,5,14979.64,2,46,8035482,0
Медикаменты,Шымкент,5225278,3799534,BIN417079838885,ТОО ПрофСтрой 66,13,2,9952.91,15,48,15577230,0
Техника,Шымкент,4397549,3020772,BIN643706134032,ТОО ТехИмпорт 905,9,2,14277.76,10,31,18873221,0
Продукты,Алматы,3667203,4000321,BIN314134724639,ТОО СнабKZ 599,7,9,3730.62,2,408,13893795,0
Медикаменты,Астана,2691410,1714595,BIN406632363680,ТОО АстанаСнаб 237,1,8,22616.89,3,134,15593502,0
Техника,Астана,1711254,2124391,BIN865815559290,ТОО ПрофСтрой 700,2,1,12964.05,6,457,12276462,0
Продукты,Актобе,1138530,972955,BIN299047287120,ТОО ЭкоПоставка 48,9,4,4312.61,15,288,4818026,0
Техника,Шымкент,4018510,4369942,BIN588480635373,ТОО ТехИмпорт 369,6,10,11995.55,3,309,16206568,0
Канцелярия,Атырау,7314595,4881276,BIN830226768250,ТОО СнабKZ 927,11,9,7494.46,4,348,5723003,1
Строительство,Астана,1273523,942797,BIN913966937888,ТОО АстанаСнаб 105,14,2,1354.81,11,113,17640370,0
Продукты,Шымкент,3131255,3155458,BIN446096771581,ТОО ПрофСтрой 411,13,9,4604.79,7,118,10654074,0
Техника,Атырау,1235968,1307835,BIN606275024865,ТОО СнабKZ 550,9,10,12359.68,11,39,18422756,0
Продукты,Актобе,883664,972851,BIN892991467268,ТОО ТехИмпорт 6,6,10,4310.56,9,378,19421549,0
Медикаменты,Актобе,4500279,4816369,BIN740563927537,ТОО ПрофСтрой 211,13,6,5422.02,5,429,17564196,0
Строительство,Шымкент,5876756,3921393,BIN391980789708,ТОО ТехИмпорт 270,14,9,79415.62,7,237,8948441,1
Канцелярия,Шымкент,761139,677724,BIN219591274785,ТОО ПрофСтрой 505,2,3,1951.64,1,233,1627259,0
Канцелярия,Алматы,6652398,4279515,BIN472390676737,ТОО ЭкоПоставка 555,1,1,8083.11,5,322,12073011,1
Техника,Астана,6651804,4190029,BIN558388179636,ТОО ПрофСтрой 496,7,2,11528.26,4,378,2834701,0
Канцелярия,Шымкент,3228736,2417565,BIN357828694571,ТОО СнабKZ 411,9,2,3423.9,10,206,11786339,0
Техника,Атырау,654465,501985,BIN419845564049,ТОО СнабKZ 352,7,10,2145.79,9,382,5395296,0
Продукты,Шымкент,711629,522681,BIN611452857211,ТОО Медика 474,10,3,3910.05,8,82,9126421,0
Строительство,Астана,1977826,2253764,BIN406963576081,ТОО ТехИмпорт 609,6,5,2777.85,4,220,1490465,0
Техника,Алматы,5616103,4034503,BIN296880255557,ТОО ЭкоПоставка 537,1,6,6198.79,3,72,9879699,0
Медикаменты,Астана,2825347,3308256,BIN983475601975,ТОО Медика 950,10,2,4235.9,15,250,13906229,0
Строительство,Шымкент,3826107,3462360,BIN359278706925,ТОО ТехИмпорт 204,12,2,5366.21,14,493,1849201,0
Строительство,Шымкент,2223507,1730666,BIN151193176094,ТОО ТехИмпорт 24,10,5,3405.06,12,254,17051761,0
Строительство,Астана,5314265,3696820,BIN570321708782,ТОО АстанаСнаб 544,6,5,5406.17,5,241,4443142,0
Медикаменты,Актобе,905499,893351,BIN270082854434,ТОО СнабKZ 980,5,3,4353.36,13,93,4359807,0
Строительство,Атырау,3313353,4460112,BIN154127595897,ТОО Медика 245,4,6,47333.61,5,297,16174621,0
Продукты,Астана,2354942,2090442,BIN282919316183,ТОО ПрофСтрой 367,15,2,4046.29,7,191,6707523,0
Продукты,Астана,2211965,1771694,BIN937042463195,ТОО ТехИмпорт 102,9,10,2704.11,8,181,1335852,0
Техника,Алматы,3383965,4616712,BIN392407247529,ТОО ТехИмпорт 205,4,4,8294.03,6,79,11976853,0
Строительство,Астана,2828421,2639237,BIN269190173202,ТОО АстанаСнаб 577,12,1,5170.79,12,249,11644166,1
Строительство,Шымкент,5580273,4292528,BIN437486182403,ТОО ПрофСтрой 985,8,10,65650.27,4,136,15345339,0
Продукты,Актобе,1519519,964333,BIN456552218503,ТОО ЭкоПоставка 866,11,9,1744.57,3,404,16559077,1
Строительство,Атырау,1690099,1216591,BIN893172217077,ТОО ЭкоПоставка 838,3,2,5972.08,10,24,2344162,0
Строительство,Алматы,1611362,2042718,BIN433289036889,ТОО СнабKZ 775,3,1,1717.87,9,475,16410659,0
Медикаменты,Алматы,1558351,1824482,BIN600475969813,ТОО СнабKZ 950,6,3,2364.72,2,397,3673778,0
Строительство,Алматы,438579,565505,BIN718664174458,ТОО ТехИмпорт 982,6,7,7831.77,6,373,10355682,0
Техника,Астана,2118959,1841493,BIN542095816721,ТОО СнабKZ 587,13,9,2288.29,9,408,13513324,0
Строительство,Алматы,2292665,1850500,BIN202515724654,ТОО Медика 658,9,8,76422.17,8,217,10589550,0
Продукты,Астана,5036893,3681695,BIN160688998714,ТОО ЭкоПоставка 47,3,2,36236.64,2,473,16551922,0
Техника,Актобе,6486011,4933032,BIN564028473263,ТОО СнабKZ 651,11,1,28447.42,12,21,10593110,1
Канцелярия,Шымкент,1285692,1069999,BIN569215604738,ТОО СнабKZ 701,10,9,1433.32,11,392,14403532,0
Продукты,Актобе,3016640,3012088,BIN703414021124,ТОО ТехИмпорт 413,6,5,14643.88,8,63,1023654,0
Продукты,Актобе,4586181,3646176,BIN724578651756,ТОО ПрофСтрой 132,2,2,5153.01,2,406,16859341,0
Продукты,Актобе,2359825,2363234,BIN201580267738,ТОО ЭкоПоставка 277,5,5,2654.47,13,356,18918923,0
Техника,Актобе,1621531,1759367,BIN552694916635,ТОО Медика 214,14,1,19076.84,10,288,19676383,1
Медикаменты,Алматы,4138075,4919770,BIN908739370017,ТОО ЭкоПоставка 569,5,3,6327.33,1,245,6288005,0
Строительство,Алматы,3796054,3780173,BIN664931449429,ТОО ПрофСтрой 267,8,1,15621.62,12,79,6563151,0
Техника,Алматы,880490,913355,BIN726892450721,ТОО Медика 95,3,3,1340.17,12,143,12090245,0
Медикаменты,Алматы,4242379,3787488,BIN324979403734,ТОО АстанаСнаб 487,8,1,13818.82,15,185,15082731,0
Строительство,Алматы,6921749,4917228,BIN142260957965,ТОО ПрофСтрой 775,11,1,7631.48,10,79,5446128,1
Медикаменты,Алматы,5469737,4052522,BIN987461555794,ТОО АстанаСнаб 700,12,6,20333.59,5,46,12773412,0
Продукты,Актобе,4675985,4840146,BIN699512467674,ТОО Медика 528,6,3,8906.64,1,119,16625082,0
Канцелярия,Шымкент,4857238,3126025,BIN567627644836,ТОО ТехИмпорт 868,1,3,7185.26,13,83,8052888,0
Канцелярия,Алматы,6162899,4614934,BIN329028401877,ТОО АстанаСнаб 998,15,4,128393.73,12,433,7618324,0
Техника,Алматы,759316,885346,BIN875218775225,ТОО ЭкоПоставка 161,13,7,6123.52,11,420,14848596,0
Строительство,Алматы,4062867,4029761,BIN313453375864,ТОО ПрофСтрой 997,13,2,18301.2,10,124,11394389,0
Канцелярия,Шымкент,4489597,3257396,BIN358312499356,ТОО ЭкоПоставка 976,7,2,41188.96,3,37,19314896,0
Строительство,Актобе,945209,765383,BIN682744575161,ТОО ТехИмпорт 975,9,1,3078.86,10,205,8440066,0
Медикаменты,Алматы,4712811,4738159,BIN324842864565,ТОО ПрофСтрой 823,12,8,5803.95,7,24,3130843,0
Строительство,Алматы,591744,689979,BIN180070274161,ТОО ЭкоПоставка 292,11,1,1023.78,8,361,13950677,1
Строительство,Актобе,3704014,2490414,BIN252181493764,ТОО ТехИмпорт 883,1,7,5724.91,10,366,17028632,0
Строительство,Астана,2536098,2634571,BIN258288720545,ТОО ТехИмпорт 702,10,3,8025.63,9,342,5182883,0
Медикаменты,Шымкент,6764169,4240587,BIN152934870620,ТОО ЭкоПоставка 40,3,9,13804.43,4,322,3249206,0
Строительство,Актобе,1093322,1477392,BIN653108325208,ТОО ЭкоПоставка 757,7,4,2002.42,10,297,5460877,0
Продукты,Алматы,946208,1214032,BIN364045751209,ТОО ПрофСтрой 678,15,6,1182.76,14,26,10353377,0
Техника,Атырау,637129,530080,BIN129484550395,ТОО АстанаСнаб 964,9,1,4826.73,1,207,9960892,0
Техника,Алматы,2618862,2924806,BIN394340195058,ТОО АстанаСнаб 6,8,6,17576.26,10,53,17021859,0
Медикаменты,Атырау,3958308,4529383,BIN155708362309,ТОО ПрофСтрой 131,5,7,9248.38,8,253,10313450,0
Канцелярия,Астана,752119,620564,BIN270131435727,ТОО ТехИмпорт 347,6,5,1186.31,8,34,6417005,0
Канцелярия,Астана,4871056,3341076,BIN576333705496,ТОО СнабKZ 172,14,6,8698.31,14,468,14662377,1
Строительство,Алматы,3301124,4439470,BIN699970870403,ТОО ПрофСтрой 292,7,9,12996.55,10,468,16029834,0
Продукты,Атырау,5358288,4254131,BIN811574501800,ТОО Медика 230,6,1,18605.17,6,19,19785235,0
Строительство,Алматы,6436339,4243516,BIN328495975155,ТОО АстанаСнаб 544,8,2,8829.0,3,493,12545855,0
Строительство,Алматы,3227988,3096519,BIN275606525619,ТОО ПрофСтрой 547,15,5,15013.9,11,356,18762565,0
Техника,Шымкент,1640066,1304498,BIN232568604907,ТОО ТехИмпорт 26,15,7,7224.96,7,322,2260031,0
Канцелярия,Шымкент,3534658,2795666,BIN859126405985,ТОО ПрофСтрой 868,13,10,6380.25,12,211,2968837,0
Продукты,Алматы,1926677,1439951,BIN502784882750,ТОО СнабKZ 958,9,5,21648.06,13,17,19630412,0
Техника,Алматы,6182943,3955805,BIN783222214893,ТОО ПрофСтрой 310,15,6,16017.99,10,177,11009801,1
Канцелярия,Алматы,3019109,2238058,BIN438688348317,ТОО Медика 55,1,8,3727.3,12,405,11556759,0
Продукты,Алматы,1350850,1127345,BIN578408187518,ТОО Медика 838,10,5,5175.67,15,222,15806879,0
Медикаменты,Атырау,3498135,3937739,BIN739828096821,ТОО ТехИмпорт 745,5,2,13992.54,4,55,7012083,0
Строительство,Атырау,4698671,4319790,BIN592249216989,ТОО ТехИмпорт 32,6,2,38200.58,6,333,8776469,0
Медикаменты,Астана,811405,1025161,BIN361208313385,ТОО ЭкоПоставка 518,8,4,9326.49,8,426,14391487,0
Строительство,Актобе,1928617,1292139,BIN803062401765,ТОО СнабKZ 439,15,3,3325.2,9,53,14290429,1
Канцелярия,Атырау,2194231,2385605,BIN609061663761,ТОО ПрофСтрой 748,14,3,2853.36,12,38,4993603,0
Строительство,Алматы,2914786,1966497,BIN769322251923,ТОО Медика 152,10,1,5806.35,14,30,17661771,1
Продукты,Алматы,3786056,3154033,BIN553390966556,ТОО ТехИмпорт 301,3,8,10401.25,4,62,16721723,0
Техника,Алматы,3396119,2541581,BIN810760754339,ТОО ПрофСтрой 815,15,2,49219.12,4,366,12422398,0
Продукты,Алматы,974246,1061740,BIN210223162922,ТОО АстанаСнаб 290,9,5,2303.18,11,252,3819977,0
Канцелярия,Шымкент,625715,631144,BIN402370897472,ТОО СнабKZ 723,11,9,886.28,11,120,1410273,0
Медикаменты,Шымкент,1450311,990924,BIN793309056319,ТОО АстанаСнаб 645,2,5,2608.47,14,362,19202019,0
Продукты,Алматы,5695169,4384534,BIN200751753881,ТОО Медика 934,10,6,10151.82,10,109,14774313,0
Техника,Шымкент,2491227,2239297,BIN152644268381,ТОО АстанаСнаб 292,6,2,75491.73,2,155,3706214,0
Продукты,Актобе,5946273,4942560,BIN873619930198,ТОО ПрофСтрой 216,7,10,8316.47,6,210,19610226,0
Продукты,Алматы,5769935,4689793,BIN425123488797,ТОО АстанаСнаб 876,10,6,108866.7,12,242,2758076,0
Техника,Шымкент,4494520,4240042,BIN358817400425,ТОО Медика 25,10,3,6259.78,11,326,17960073,0
Медикаменты,Актобе,3894202,3358337,BIN868383350189,ТОО АстанаСнаб 348,13,3,13568.65,12,180,10105462,0
Медикаменты,Атырау,3726367,3939026,BIN252141282777,ТОО ПрофСтрой 100,15,9,19612.46,2,453,3578199,0
Строительство,Атырау,4091709,3010064,BIN435338033158,ТОО ЭкоПоставка 739,6,4,7493.97,11,98,5591341,0
Канцелярия,Актобе,597250,838717,BIN695550132650,ТОО ПрофСтрой 961,12,9,661.41,13,498,3108015,0
Техника,Шымкент,1598855,1178858,BIN192648417180,ТОО АстанаСнаб 553,6,5,12394.22,8,187,3010664,0
Продукты,Атырау,667277,773479,BIN815913650639,ТОО СнабKZ 732,15,8,1890.3,14,31,4997185,0
Строительство,Астана,2989912,2698986,BIN997819933721,ТОО ЭкоПоставка 639,3,8,4045.89,9,190,2441837,0
Канцелярия,Атырау,1104922,781971,BIN733621374493,ТОО Медика 948,10,10,1453.84,9,190,6926681,1
Продукты,Атырау,3008853,1966695,BIN837491864017,ТОО СнабKZ 185,15,10,4745.82,14,456,7168408,1
Продукты,Шымкент,5010609,4698305,BIN201105513100,ТОО АстанаСнаб 925,8,7,52193.84,1,148,8423774,0
Техника,Шымкент,5278001,3493016,BIN922265179228,ТОО ЭкоПоставка 618,11,1,37700.01,3,73,7038174,1
Канцелярия,Шымкент,1293288,973513,BIN435654921441,ТОО Медика 607,8,2,1724.38,6,375,14584937,0
Медикаменты,Астана,1863688,2355093,BIN306063241109,ТОО ЭкоПоставка 998,6,4,2231.96,4,139,5310812,0
Строительство,Алматы,4824104,4999901,BIN612749347005,ТОО СнабKZ 552,9,3,5192.79,3,422,14277596,0
Канцелярия,Шымкент,3094438,2443314,BIN775431696401,ТОО ПрофСтрой 402,8,3,6786.05,5,50,2753570,0
Канцелярия,Атырау,6560705,4111288,BIN349859374725,ТОО ЭкоПоставка 959,14,8,12217.33,5,418,14742084,1
Продукты,Астана,4817718,4049611,BIN565352986949,ТОО СнабKZ 930,6,5,9832.08,13,189,5360817,0
Медикаменты,Атырау,3293072,3616000,BIN517494333952,ТОО ТехИмпорт 144,11,10,6225.09,6,338,16266717,0
Строительство,Астана,2100513,1327424,BIN215098528736,ТОО ТехИмпорт 108,7,4,2503.59,11,214,19725693,0
Продукты,Алматы,2619892,2073484,BIN990884216888,ТОО ЭкоПоставка 564,5,4,16581.59,3,136,10332417,0
Строительство,Шымкент,3420793,3166896,BIN793624928954,ТОО ЭкоПоставка 802,13,4,6197.09,10,356,9179151,0
Продукты,Актобе,4161205,2661107,BIN949005352369,ТОО СнабKZ 899,15,7,34676.71,14,283,12532609,1
Медикаменты,Атырау,6824948,4518641,BIN452744401919,ТОО ПрофСтрой 549,13,10,8173.59,7,368,5962551,1
Строительство,Шымкент,2048287,1341498,BIN918026107968,ТОО СнабKZ 261,14,1,6060.02,10,434,10847228,1
Медикаменты,Астана,5791910,4039024,BIN369585091458,ТОО ТехИмпорт 648,8,3,23354.48,13,29,14382522,0
Продукты,Алматы,1514622,1816265,BIN732140233282,ТОО ЭкоПоставка 346,4,4,4885.88,14,82,15697894,0
Техника,Актобе,3948640,2734080,BIN500613843402,ТОО ПрофСтрой 696,1,5,4678.48,10,346,1216407,0
Медикаменты,Шымкент,5838964,3837854,BIN304441764085,ТОО СнабKZ 897,9,3,52603.28,11,108,17388675,0
Продукты,Астана,4180258,3550735,BIN996457978623,ТОО ТехИмпорт 904,6,6,18745.55,3,51,5291236,0
Канцелярия,Шымкент,3420929,3325473,BIN908904682205,ТОО ЭкоПоставка 910,12,9,7792.55,12,63,11375346,0
Медикаменты,Астана,2350466,2481802,BIN291106356855,ТОО ТехИмпорт 118,4,8,4451.64,12,142,6094188,0
Медикаменты,Алматы,3910850,4270465,BIN260154808700,ТОО ЭкоПоставка 328,12,7,79813.27,5,158,4530426,0
Строительство,Астана,4825539,4288705,BIN838773863733,ТОО ТехИмпорт 547,12,8,25667.76,7,318,19469137,0
Техника,Астана,2441775,2017375,BIN838562896305,ТОО ТехИмпорт 667,5,6,6763.92,12,140,4744219,0
Канцелярия,Шымкент,6326002,4295858,BIN550252068478,ТОО ТехИмпорт 572,11,6,7407.5,14,38,12588699,1
Техника,Шымкент,5744833,3763343,BIN179446657971,ТОО ПрофСтрой 358,15,10,6484.01,8,398,17935040,1
Канцелярия,Астана,1038688,1363390,BIN450772120575,ТОО ТехИмпорт 360,8,5,3063.98,10,151,7219101,0
Техника,Атырау,1891223,1225262,BIN757478065636,ТОО ТехИмпорт 69,11,7,3125.99,2,429,10183496,1
Строительство,Алматы,3983270,3004682,BIN726423438158,ТОО ЭкоПоставка 640,5,5,4435.71,11,13,4472872,0
Техника,Шымкент,2192549,1534253,BIN493590289954,ТОО Медика 674,13,1,11479.31,1,126,16639468,1
Техника,Атырау,6844517,4928076,BIN232015503555,ТОО ЭкоПоставка 838,5,10,29888.72,2,457,2666399,0
Строительство,Актобе,1244519,862406,BIN879482240510,ТОО ПрофСтрой 524,3,8,1275.12,7,139,11204864,0
Медикаменты,Астана,1104851,719905,BIN983854347717,ТОО АстанаСнаб 709,9,9,1204.85,14,445,18764806,0
Продукты,Актобе,4731570,3381697,BIN550463209679,ТОО Медика 112,7,2,9151.97,3,69,5339423,0
Продукты,Алматы,811156,537752,BIN884469383933,ТОО Медика 726,2,4,907.33,11,332,1299002,0
Канцелярия,Актобе,2896642,2500448,BIN377890759599,ТОО Медика 985,8,2,17039.07,8,417,17800769,0
Продукты,Алматы,858225,1089107,BIN510481780370,ТОО АстанаСнаб 144,8,1,1191.98,6,222,9761008,0
Медикаменты,Астана,3849929,2982653,BIN790931289769,ТОО ЭкоПоставка 424,4,10,7417.97,15,413,19846920,0
Медикаменты,Шымкент,2250628,2014821,BIN283620734924,ТОО ТехИмпорт 682,7,6,2859.76,12,347,17516649,0
Строительство,Атырау,953482,780671,BIN553048902446,ТОО ЭкоПоставка 983,15,10,136211.71,6,212,4875406,0
Медикаменты,Алматы,4084707,3934432,BIN182074504810,ТОО ТехИмпорт 745,10,2,6631.02,14,17,17150510,0
Канцелярия,Атырау,790551,969156,BIN259003482738,ТОО АстанаСнаб 790,2,8,855.57,5,175,19669498,0
Канцелярия,Актобе,3583460,4535484,BIN865086084049,ТОО Медика 207,2,2,8511.78,3,486,11515233,0
Медикаменты,Алматы,4580122,3337317,BIN309040643143,ТОО СнабKZ 625,12,2,42408.54,4,286,16801803,0
Строительство,Астана,599861,804345,BIN410379665851,ТОО СнабKZ 30,9,6,665.03,15,18,18306584,0
Медикаменты,Актобе,1796405,1208068,BIN985798184613,ТОО ПрофСтрой 446,4,7,2108.46,3,364,5126946,0
Строительство,Атырау,1850780,1852735,BIN276241770088,ТОО ЭкоПоставка 452,15,4,1944.1,4,274,10153805,0
Канцелярия,Шымкент,801383,823846,BIN622577236743,ТОО АстанаСнаб 93,5,2,3816.11,11,150,1518747,0
Медикаменты,Шымкент,3587812,3657656,BIN867605564744,ТОО ТехИмпорт 158,9,6,3745.11,5,275,8734771,0
Строительство,Шымкент,3642032,2981324,BIN580959624267,ТОО ПрофСтрой 822,13,9,37163.59,2,53,16905907,1
Техника,Шымкент,479441,542008,BIN332207419305,ТОО АстанаСнаб 712,10,1,3449.22,9,422,10415157,1
Канцелярия,Шымкент,4766138,3434911,BIN979672588443,ТОО СнабKZ 249,5,8,4766138.0,9,226,2172042,0
Канцелярия,Атырау,2997022,2272790,BIN117747686630,ТОО ПрофСтрой 903,4,5,3525.91,15,298,10501686,0
Продукты,Актобе,6685927,4266611,BIN978650054704,ТОО Медика 225,11,4,208935.22,10,394,10355129,1
Медикаменты,Шымкент,5902749,3971595,BIN871223622315,ТОО ЭкоПоставка 944,6,6,12804.23,1,97,1625832,0
Строительство,Актобе,1092325,1419070,BIN322554538457,ТОО АстанаСнаб 731,5,2,2644.85,12,224,7126208,0
Продукты,Шымкент,4401314,3518130,BIN108558535793,ТОО ТехИмпорт 96,11,6,6530.14,8,87,16157968,0
Продукты,Актобе,1359203,1085048,BIN305452387944,ТОО СнабKZ 958,11,2,30890.98,8,150,9526108,0
Строительство,Шымкент,2627416,1871924,BIN194513853898,ТОО Медика 755,14,10,4675.12,11,86,14882692,1
Строительство,Атырау,3865254,2742539,BIN821844210193,ТОО ЭкоПоставка 38,7,4,9736.16,1,472,10378318,1
Медикаменты,Актобе,887913,1169761,BIN454517086717,ТОО СнабKZ 573,11,4,7338.12,13,254,10077373,0
Канцелярия,Алматы,2330677,1688238,BIN725604314675,ТОО ЭкоПоставка 241,8,10,6402.96,14,104,13333239,0
Канцелярия,Атырау,1437619,1742247,BIN185204347767,ТОО ПрофСтрой 601,15,2,3676.77,4,243,14711258,0
Продукты,Актобе,1436514,1393502,BIN964864488159,ТОО ТехИмпорт 237,9,4,12173.85,4,128,17711196,0
Строительство,Актобе,2538629,2271973,BIN979592057340,ТОО ПрофСтрой 479,8,7,3869.86,6,45,18059811,0
Канцелярия,Актобе,3130948,2050394,BIN959231896892,ТОО ТехИмпорт 786,5,3,4993.54,6,121,8296913,0
Техника,Актобе,6882483,4476811,BIN120977101962,ТОО АстанаСнаб 34,7,10,8624.67,14,34,5025339,0
Продукты,Шымкент,857218,749715,BIN433797069481,ТОО СнабKZ 344,15,4,1177.5,11,179,7705229,0
Строительство,Шымкент,2471672,2477231,BIN536672143188,ТОО АстанаСнаб 383,3,7,4261.5,15,427,7977891,0
Медикаменты,Алматы,1676852,1613990,BIN117588823225,ТОО ЭкоПоставка 387,9,5,2419.7,1,251,8369217,0
Техника,Астана,3550661,4131076,BIN486303687582,ТОО АстанаСнаб 233,8,6,4569.71,6,348,14837332,0
Продукты,Алматы,3419455,4370202,BIN431297897315,ТОО ЭкоПоставка 54,2,3,5080.91,2,183,3242325,0
Медикаменты,Атырау,3955042,2788824,BIN235602438037,ТОО АстанаСнаб 675,12,4,63791.0,5,192,12898615,1
Канцелярия,Атырау,1602216,1614979,BIN233911386927,ТОО ТехИмпорт 74,7,7,1741.54,2,57,11145449,0
Строительство,Алматы,2019737,2335634,BIN307540559761,ТОО ЭкоПоставка 833,13,5,3440.78,12,302,13809011,0
Строительство,Астана,4870734,4625649,BIN979251190665,ТОО ТехИмпорт 381,13,9,5771.01,9,230,6487283,0
Строительство,Шымкент,2133388,1752120,BIN863589834571,ТОО ЭкоПоставка 625,11,2,14612.25,4,244,3490867,0
Медикаменты,Алматы,4689563,4361494,BIN529766784195,ТОО АстанаСнаб 696,7,7,4799.96,4,341,6153186,0
Медикаменты,Алматы,2231312,2947231,BIN596694468573,ТОО Медика 241,4,6,19235.45,6,408,4043346,0
Строительство,Астана,2548524,2111304,BIN954494327074,ТОО Медика 417,3,9,5190.48,1,388,5608452,0
Медикаменты,Алматы,3523182,3771878,BIN332535039897,ТОО ТехИмпорт 378,2,9,5775.71,9,321,5773104,0
Техника,Алматы,2203688,2247281,BIN331921225925,ТОО ПрофСтрой 610,8,10,4649.13,9,294,4466045,0
Техника,Актобе,2085810,1735635,BIN960294195581,ТОО ЭкоПоставка 416,9,10,5201.52,1,368,5416304,0
Канцелярия,Алматы,571222,806414,BIN842101023272,ТОО СнабKZ 888,6,8,3709.23,7,168,10977944,0
Медикаменты,Астана,6184031,3901478,BIN864221328304,ТОО СнабKZ 971,6,9,29169.96,10,269,7219674,0
Продукты,Актобе,3529560,4939259,BIN277387396068,ТОО АстанаСнаб 453,12,6,7860.94,6,46,14873449,0
Канцелярия,Шымкент,2452895,2709630,BIN994343354405,ТОО ЭкоПоставка 680,5,8,4459.81,1,254,18996939,0
Медикаменты,Актобе,2661051,3146532,BIN943144843161,ТОО ЭкоПоставка 203,10,7,16127.58,9,427,9240630,0
Строительство,Атырау,433967,602132,BIN212340351670,ТОО АстанаСнаб 949,10,3,1011.58,5,260,4876994,0
Техника,Астана,1711332,1188369,BIN108401218211,ТОО СнабKZ 746,10,2,21127.56,14,159,2644667,1
Продукты,Атырау,3176459,4325372,BIN886962977953,ТОО ПрофСтрой 881,10,3,3267.96,2,268,14699647,1
Продукты,Алматы,4683533,4067775,BIN874036311251,ТОО СнабKZ 922,6,4,5141.09,11,349,14435816,0
Строительство,Астана,2024043,1602867,BIN935076941106,ТОО ТехИмпорт 395,11,6,3666.74,2,169,16533547,1
Канцелярия,Актобе,2098346,1648108,BIN859571428925,ТОО Медика 404,8,10,7575.26,11,351,2807948,0
Техника,Атырау,580438,553698,BIN914613195917,ТОО АстанаСнаб 27,2,2,1349.86,11,130,3225937,0
Техника,Шымкент,1182807,1048354,BIN171162258823,ТОО СнабKZ 278,13,9,1895.52,11,327,17975979,0
Канцелярия,Актобе,1939900,1960468,BIN899055834972,ТОО ТехИмпорт 976,5,3,4708.5,3,408,4155382,0
Канцелярия,Алматы,2121651,1595611,BIN923495095997,ТОО ПрофСтрой 949,13,10,15374.28,3,213,17741172,0
Продукты,Шымкент,5368694,3391379,BIN213002728297,ТОО ТехИмпорт 490,7,5,16777.17,14,405,3154490,0
Продукты,Шымкент,4570758,3628794,BIN283781410099,ТОО СнабKZ 626,7,9,163241.36,11,278,16001439,0
Продукты,Актобе,2091146,1438852,BIN218131156195,ТОО ТехИмпорт 162,9,8,2305.56,13,273,1212727,0
Строительство,Шымкент,3893180,4401315,BIN864262724517,ТОО Медика 937,2,7,74868.85,1,477,11030950,0
Канцелярия,Алматы,1281274,1308235,BIN578059740144,ТОО АстанаСнаб 214,4,3,11974.52,6,129,17436570,0
Продукты,Астана,5816226,4960818,BIN709643089013,ТОО СнабKZ 936,3,3,9959.29,8,283,14209753,0
Строительство,Шымкент,4811027,3629044,BIN271663012641,ТОО ТехИмпорт 938,9,5,15519.44,4,286,6149513,0
Канцелярия,Шымкент,1238969,901746,BIN755624940471,ТОО АстанаСнаб 508,4,10,2771.74,2,375,8878670,0
Медикаменты,Актобе,3384621,3063683,BIN724596536039,ТОО ТехИмпорт 488,5,10,5321.73,9,399,15281835,0
Медикаменты,Шымкент,5069683,3695745,BIN649848133066,ТОО СнабKZ 179,5,7,13776.31,9,354,13979759,0
Канцелярия,Астана,2342052,1585109,BIN728454576842,ТОО ЭкоПоставка 531,15,3,14108.75,14,317,6767459,1
Канцелярия,Астана,4542907,4531172,BIN650947898111,ТОО ТехИмпорт 215,15,4,6443.84,12,337,19466599,0
Канцелярия,Шымкент,4200948,4814136,BIN340235992560,ТОО АстанаСнаб 244,12,6,13294.14,3,431,2460821,0
Продукты,Астана,2543858,1746911,BIN247180071538,ТОО ЭкоПоставка 728,9,6,2887.47,6,379,18017100,0
Канцелярия,Атырау,1297047,1833185,BIN848697081257,ТОО АстанаСнаб 468,1,3,2303.81,15,494,3908153,0
Техника,Шымкент,5934612,4548225,BIN875925497769,ТОО АстанаСнаб 807,10,1,37800.08,12,182,11754834,1
Строительство,Шымкент,3163039,2917429,BIN652761365164,ТОО ТехИмпорт 501,13,9,3315.55,7,269,19204110,0
Техника,Алматы,5382152,3431569,BIN423633980115,ТОО СнабKZ 807,8,2,6652.85,1,59,18268334,1
Строительство,Шымкент,7651705,4992119,BIN458392586301,ТОО ТехИмпорт 954,8,10,10148.15,6,93,16218617,0
Техника,Актобе,6384595,4446716,BIN859806381133,ТОО Медика 813,14,2,6442.58,4,392,6383467,1
Медикаменты,Астана,808033,614179,BIN859280695660,ТОО ПрофСтрой 595,6,4,915.1,13,186,4262382,0
Строительство,Актобе,4590183,3964200,BIN178531668976,ТОО АстанаСнаб 111,9,3,5111.56,6,296,13020718,0
